climbing false buckwheat,Polygonum,scandens,L.,,,
Christmas fern,Polystichum,acrostichoides,(Michx.)Schott,,,
Norwegian cinquefoil,Potentilla,norvegica,L.,,,
Carolina rose,Rosa,carolina,L.,,,
chickenclaws,Sarcocornia,perennis,(P.Mill.)A.J.Scott,,,
early saxifrage,Saxifraga,virginiensis,Michx.,,,
Pennsylvania catchfly,Silene,caroliniana,Walt.ssp.pensylvanica(Michx.)Clausen,,,
wreath goldenrod,Solidago,caesia,L.,,,
gray goldenrod,Solidago,nemoralis,Ait.,,,
seaside goldenrod,Solidago,sempervirens,L.,,,
clasping Venus' looking-glass,Triodanis,perfoliata,(L.)Nieuwl.,,,
highbush blueberry,Vaccinium,corymbosum,L.,,,
early blue violet,Viola,palmata,L.,,,
fox grape,Vitis,labrusca,L.,,,
hairy lespedeza,Lespedeza,hirta,(L.)Hornem.,,,
flat-top goldentop,Euthamia,graminifolia,(L.)Nutt.,,,
roundlobe hepatica,Hepatica,nobilis,Schreb.var.obtusa(Pursh)Steyermark,,,
white baneberry,Actaea,pachypoda,Ell.,,,
alternateleaf dogwood,Cornus,alternifolia,L.f.,,,
Tuliptree,Liriodendron,Tulipifera,,,,
common reed,Phragmites,australis,(Cav.)Trin.exSteud.,,,
Virginia mountainmint,Pycnanthemum,virginianum,(L.)T.Dur.&B.D.JacksonexB.L.Robins.&Fern.,,,
smooth blackberry,Rubus,canadensis,L.,,,
chestnut oak,Quercus,prinus,L.,,,
woman's tobacco,Antennaria,plantaginifolia,(L.)Richards.,,,
Indianhemp,Apocynum,cannabinum,L.,,,
yellow thistle,Cirsium,horridulum,Michx.,,,
pasture thistle,Cirsium,pumilum,(Nutt.)Spreng.,,,
red fescue,Festuca,rubra,L.,,,
Allegheny hawkweed,Hieracium,paniculatum,L.,,,
common evening-primrose,Oenothera,biennis,L.,,,
little bluestem,Schizachyrium,scoparium,(Michx.)Nash,,,
forked bluecurls,Trichostema,dichotomum,L.,,,
purpletop tridens,Tridens,flavus,(L.)A.S.Hitchc.,,,
common ladyfern,Athyrium,filix-femina,(L.)Roth,,,
devil's darning needles,Clematis,virginiana,L.,,,
whorled milkwort,Polygala,verticillata,L.,,,
quaking aspen,Populus,tremuloides,Michx.,,,
anisescented goldenrod,Solidago,odora,Ait.,,,
slender threeseed mercury,Acalypha,gracilens,Gray,,,
saltmarsh false foxglove,Agalinis,maritima,(Raf.)Raf.,,,
slenderleaf false foxglove,Agalinis,tenuifolia,(Vahl)Raf.,,,
winter bentgrass,Agrostis,hyemalis,(Walt.)B.S.P.,,,
upland bentgrass,Agrostis,perennans,(Walt.)Tuckerman,,,
lyrate rockcress,Arabis,lyrata,L.,,,
densetuft hairsedge,Bulbostylis,capillaris,(L.)KunthexC.B.Clarke,,,
oval-leaf sedge,Carex,cephalophora,Muhl.exWilld.,,,
Pennsylvania sedge,Carex,pensylvanica,Lam.,,,
parasol sedge,Carex,umbellata,SchkuhrexWilld.,,,
mockernut hickory,Carya,alba,(L.)Nutt.,,,
pipsissewa,Chimaphila,umbellata,(L.)W.Bart.,,,
black bugbane,Cimicifuga,racemosa,(L.)Nutt.,,,
American hazelnut,Corylus,americana,Walt.,,,
moccasin flower,Cypripedium,acaule,Ait.,,,
Dillenius' ticktrefoil,Desmodium,glabellum,(Michx.)DC.,,,
smooth small-leaf ticktrefoil,Desmodium,marilandicum,(L.)DC.,,,
panicledleaf ticktrefoil,Desmodium,paniculatum,(L.)DC.,,,
inland saltgrass,Distichlis,spicata,(L.)Greene,,,
dwarf spikerush,Eleocharis,parvula,"(Roemer&J.A.Schultes)LinkexBluff,Nees&Schauer",,,
field horsetail,Equisetum,arvense,L.,,,
roundleaf thoroughwort,Eupatorium,rotundifolium,L.,,,
crimsoneyed rosemallow,Hibiscus,moscheutos,L.,,,
rattlesnakeweed,Hieracium,venosum,L.,,,
harlequin blueflag,Iris,versicolor,L.,,,
saltmeadow rush,Juncus,gerardii,Loisel.,,,
hairy pinweed,Lechea,mucronata,Raf.,,,
violet lespedeza,Lespedeza,violacea,(L.)Pers.,,,
northern bayberry,Morella,pensylvanica,(Mirbel),Kartesz,,
blackgum,Nyssa,sylvatica,Marsh.,,,
witchgrass,Panicum,capillare,L.,,,
Canadian lousewort,Pedicularis,canadensis,L.,,,
black chokeberry,Photinia,melanocarpa,(Michx.)Robertson&Phipps,,,
dwarf cinquefoil,Potentilla,canadensis,L.,,,
common cinquefoil,Potentilla,simplex,Michx.,,,
narrowleaf mountainmint,Pycnanthemum,tenuifolium,Schrad.,,,
American wintergreen,Pyrola,americana,Sweet,,,
white oak,Quercus,alba,L.,,,
scarlet oak,Quercus,coccinea,Muenchh.,,,
black oak,Quercus,velutina,Lam.,,,
littleleaf buttercup,Ranunculus,abortivus,L.,,,
blisterwort,Ranunculus,recurvatus,Poir.,,,
bristly dewberry,Rubus,hispidus,L.,,,
black raspberry,Rubus,occidentalis,L.,,,
Pennsylvania blackberry,Rubus,pensilvanicus,Poir.,,,
chairmaker's bulrush,Schoenoplectus,americanus,(Pers.)Volk.exSchinz&R.Keller,,,
toothed whitetop aster,Sericocarpus,asteroides,(L.)B.S.P.,,,
white goldenrod,Solidago,bicolor,L.,,,
Canada goldenrod,Solidago,canadensis,L.,,,
seaside arrowgrass,Triglochin,maritimum,L.,,,
Blue Ridge blueberry,Vaccinium,pallidum,Ait.,,,
New York ironweed,Vernonia,noveboracensis,(L.)Michx.,,,
summer grape,Vitis,aestivalis,Michx.,,,
groundcedar,Lycopodium,complanatum,L.,,,
spring forget-me-not,Myosotis,verna,Nutt.,,,
waxflower shinleaf,Pyrola,elliptica,Nutt.,,,
widowsfrill,Silene,stellata,(L.)Ait.f.,,,
white vervain,Verbena,urticifolia,L.,,,
meadow garlic,Allium,canadense,L.,,,
New Jersey tea,Ceanothus,americanus,L.,,,
common goldstar,Hypoxis,hirsuta,(L.)Coville,,,
roundhead lespedeza,Lespedeza,capitata,Michx.,,,
prairie wedgescale,Sphenopholis,obtusata,(Michx.)Scribn.,,,
purple milkweed,Asclepias,purpurascens,L.,,,
eastern baccharis,Baccharis,halimifolia,L.,,,
American hornbeam,Carpinus,caroliniana,Walt.,,,
common hackberry,Celtis,occidentalis,L.,,,
eyebane,Chamaesyce,nutans,(Lag.)Small,,,
coastal sweetpepperbush,Clethra,alnifolia,L.,,,
gray dogwood,Cornus,racemosa,Lam.,,,
intermediate woodfern,Dryopteris,intermedia,(Muhl.exWilld.)Gray,,,
sweetgum,Liquidambar,styraciflua,L.,,,
Virginia rose,Rosa,virginiana,P.Mill.,,,
riverbank grape,Vitis,riparia,Michx.,,,
groundnut,Apios,americana,Medik.,,,
tall blue lettuce,Lactuca,biennis,(Moench)Fern.,,,
annual ragweed,Ambrosia,artemisiifolia,L.,,,
poverty oatgrass,Danthonia,spicata,(L.)Beauv.exRoemer&J.A.Schultes,,,
flaxleaf whitetop aster,Ionactis,linariifolius,(L.)Greene,,,
poverty rush,Juncus,tenuis,Willd.,,,
Canada germander,Teucrium,canadense,L.,,,
bigleaf aster,Eurybia,macrophylla,(L.)Cass.,,,
Canada mayflower,Maianthemum,canadense,Desf.,,,
common blue violet,Viola,sororia,Willd.,,,
devil's beggartick,Bidens,frondosa,L.,,,
common yellow oxalis,Oxalis,stricta,L.,,,
Pennsylvania smartweed,Persicaria,pensylvanica,(L.),M.,Gómez,
early meadow-rue,Thalictrum,dioicum,L.,,,
eastern poison ivy,Toxicodendron,radicans,(L.)Kuntze,,,
common serviceberry,Amelanchier,arborea,(Michx.f.)Fern.,,,
Allegheny serviceberry,Amelanchier,laevis,Wiegand,,,
western pearly everlasting,Anaphalis,margaritacea,(L.)Benth.,,,
spreading dogbane,Apocynum,androsaemifolium,L.,,,
sicklepod,Arabis,canadensis,L.,,,
ebony spleenwort,Asplenium,platyneuron,(L.)B.S.P.,,,
maidenhair spleenwort,Asplenium,trichomanes,L.,,,
downy yellow false foxglove,Aureolaria,virginica,(L.)Pennell,,,
gray birch,Betula,nigra,L.,,,
sand bittercress,Cardamine,parviflora,L.,,,
Hitchcock's sedge,Carex,hitchcockiana,Dewey,,,
bitternut hickory,Carya,cordiformis,(Wangenh.)K.Koch,,,
roundleaf dogwood,Cornus,rugosa,Lam.,,,
Great Plains flatsedge,Cyperus,lupulinus,(Spreng.)Marcks,ssp.lupulinus,,
northern bush honeysuckle,Diervilla,lonicera,P.Mill.,,,
common persimmon,Diospyros,virginiana,L.,,,
Philadelphia fleabane,Erigeron,philadelphicus,L.,,,
woodland sunflower,Helianthus,divaricatus,L.,,,
black walnut,Juglans,nigra,L.,,,
Illinois pinweed,Lechea,racemulosa,Michx.,,,
sweet crabapple,Malus,coronaria,(L.)P.Mill.,,,
violet woodsorrel,Oxalis,violacea,L.,,,
Virginia groundcherry,Physalis,virginiana,P.Mill.,,,
tall rattlesnakeroot,Prenanthes,altissima,L.,,,
basil mountainmint,Pycnanthemum,clinopodioides,Torr.&Gray,,,
American black currant,Ribes,americanum,P.Mill.,,,
narrowleaf whitetop aster,Sericocarpus,linifolius,(L.)B.S.P.,,,
zigzag goldenrod,Solidago,flexicaulis,L.,,,
white panicle aster,Symphyotrichum,lanceolatum,(Willd.)Nesomssp.lanceolatumvar.lanceolatum,,,
Lowrie's blue wood aster,Symphyotrichum,lowrieanum,(Porter)Nesom,,,
lowbush blueberry,Vaccinium,angustifolium,Ait.,,,
narrowleaf vervain,Verbena,simplex,Lehm.,,,
red columbine,Aquilegia,canadensis,L.,,,
American spikenard,Aralia,racemosa,L.,,,
slimspike threeawn,Aristida,longispica,Poir.,,,
purplestem beggarticks,Bidens,connata,Muhl.exWilld.,,,
smallspike false nettle,Boehmeria,cylindrica,(L.)Sw.,,,
bristleleaf sedge,Carex,eburnea,Boott,,,
Muhlenberg's sedge,Carex,muehlenbergii,SchkuhrexWilld.,,,
Virginia springbeauty,Claytonia,virginica,L.,,,
American squawroot,Conopholis,americana,(L.)Wallr.f.,,,
fragrant flatsedge,Cyperus,odoratus,L.,,,
showy ticktrefoil,Desmodium,canadense,(L.)DC.,,,
dutchman's breeches,Dicentra,cucullaria,(L.)Bernh.,,,
deertongue,Dichanthelium,clandestinum,(L.)Gould,,,
eastern bottlebrush grass,Elymus,hystrix,L.,,,
dogtooth violet,Erythronium,americanum,Ker-Gawl.,,,
trumpetweed,Eupatorium,fistulosum,Barratt,,,
hyssopleaf thoroughwort,Eupatorium,hyssopifolium,L.,,,
sweetscented joepyeweed,Eupatorium,purpureum,L.,,,
lanceleaf wild licorice,Galium,lanceolatum,Torr.,,,
greater fringed gentian,Gentianopsis,crinita,(Froel.)Ma,,,
whitegrass,Leersia,virginica,Willd.,,,
eastern grasswort,Lilaeopsis,chinensis,(L.)Kuntze,,,
northern bugleweed,Lycopus,uniflorus,Michx.,,,
lowland yellow loosestrife,Lysimachia,hybrida,Michx.,,,
pinesap,Monotropa,hypopithys,L.,,,
northern evening-primrose,Oenothera,parviflora,L.,,,
devil's-tongue,Opuntia,humifusa,(Raf.)Raf.,,,
oneflowered broomrape,Orobanche,uniflora,L.,,,
royal fern,Osmunda,regalis,L.,,,
American ginseng,Panax,quinquefolius,L.,,,
New England aster,Symphyotrichum,novae-angliae,(L.)Nesom,,,
New York fern,Thelypteris,noveboracensis,(L.)Nieuwl.,,,
southern arrowwood,Viburnum,dentatum,L.,,,
arrowleaf violet,Viola,sagittata,Ait.,,,
hairy woodland brome,Bromus,pubescens,Muhl.exWilld.,,,
silver false spleenwort,Deparia,acrostichoides,(Sw.)M.Kato,,,
American beech,Fagus,grandifolia,Ehrh.,,,
white ash,Fraxinus,americana,L.,,,
butternut,Juglans,cinerea,L.,,,
Canadian woodnettle,Laportea,canadensis,(L.)Weddell,,,
northern spicebush,Lindera,benzoin,(L.)Blume,,,
purple milkwort,Polygala,sanguinea,L.,,,
erect knotweed,Polygonum,erectum,L.,,,
eastern cottonwood,Populus,deltoides,Bartr.exMarsh.,,,
Pennsylvania buttercup,Ranunculus,pensylvanicus,L.f.,,,
prairie willow,Salix,humilis,Marsh.,,,
northern slender ladies'-tresses,Spiranthes,lacera,(Raf.)Raf.var.gracilis(Bigelow)Luer,,,
rue anemone,Thalictrum,thalictroides,(L.)Eames&Boivin,,,
bashful bulrush,Trichophorum,planifolium,(Spreng.)Palla,,,
whip-poor-will flower,Trillium,cernuum,L.,,,
American elm,Ulmus,americana,L.,,,
birdfoot violet,Viola,pedata,L.,,,
white colicroot,Aletris,farinosa,L.,,,
nightcaps,Anemone,quinquefolia,L.,,,
tower rockcress,Arabis,glabra,(L.)Bernh.,,,
paper birch,Betula,lenta,L.,,,
Emmons' sedge,Carex,albicans,Willd.exSpreng.var.emmonsii(DeweyexTorr.)J.Rettig,,,
broadleaf sedge,Carex,platyphylla,Carey,,,
enchanter's nightshade,Circaea,lutetiana,,,,
blue waxweed,Cuphea,viscosissima,Jacq.,,,
flattened oatgrass,Danthonia,compressa,AustinexPeck,,,
wavy hairgrass,Deschampsia,flexuosa,(L.)Trin.,,,
hoary ticktrefoil,Desmodium,canescens,(L.)DC.,,,
smooth ticktrefoil,Desmodium,laevigatum,(Nutt.)DC.,,,
Nuttall's ticktrefoil,Desmodium,nuttallii,(Schindl.)Schub.,,,
downy rattlesnake plantain,Goodyera,pubescens,(Willd.)R.Br.exAit.f.,,,
queendevil,Hieracium,gronovii,L.,,,
tapertip rush,Juncus,acuminatus,Michx.,,,
grassleaf rush,Juncus,marginatus,Rostk.,,,
fan clubmoss,Lycopodium,digitatum,Dill.,ex,A.,Braun
northern adderstongue,Ophioglossum,pusillum,Raf.,,,
Pennsylvania pellitory,Parietaria,pensylvanica,Muhl.exWilld.,,,
sweetscent,Pluchea,odorata,(L.)Cass.,,,
procession flower,Polygala,incarnata,L.,,,
bushy knotweed,Polygonum,ramosissimum,Michx.,,,
rabbittobacco,Pseudognaphalium,obtusifolium,(L.)Hilliard&Burtt,,,
Torrey's mountainmint,Pycnanthemum,torrei,Benth.,,,
marsh rose gentian,Sabatia,dodecandra,(L.)B.S.P.,,,
Virginia glasswort,Salicornia,virginica,L.,,,
showy goldenrod,Solidago,speciosa,Nutt.,,,
big cordgrass,Spartina,cynosuroides,(L.)Roth,,,
shiny wedgescale,Sphenopholis,nitida,(Biehler)Scribn.,,,
smooth white oldfield aster,Symphyotrichum,racemosum,(Ell.)Nesom,,,
feverwort,Triosteum,perfoliatum,L.,,,
Culver's root,Veronicastrum,virginicum,(L.)Farw.,,,
candle anemone,Anemone,cylindrica,Gray,,,
field pussytoes,Antennaria,neglecta,Greene,,,
rattlesnake fern,Botrychium,virginianum,(L.)Sw.,,,
low false bindweed,Calystegia,spithamaea,(L.)Pursh,,,
mat sandbur,Cenchrus,longispinus,(Hack.)Fern.,,,
sleepingplant,Chamaecrista,fasciculata,(Michx.)Greene,,,
partridge pea,Chamaecrista,nictitans,(L.)Moench,,,
sweet fern,Comptonia,peregrina,(L.)Coult.,,,
swamp doghobble,Leucothoe,racemosa,(L.)Gray,,,
devil's bite,Liatris,scariosa,(L.)Willd.,,,
rare clubmoss,Lycopodium,obscurum,L.,,,
Virginia water horehound,Lycopus,virginicus,L.,,,
fringed loosestrife,Lysimachia,ciliata,L.,,,
whorled yellow loosestrife,Lysimachia,quadrifolia,L.,,,
stiff goldenrod,Oligoneuron,rigidum,(L.)Smallvar.rigidum,,,
dwarf ginseng,Panax,trifolius,L.,,,
thicket bean,Phaseolus,polystachios,(L.)B.S.P.,,,
smooth Solomon's seal,Polygonatum,biflorum,(Walt.)Ell.,,,
composite dropseed,Sporobolus,compositus,(Poir.)Merr.,,,
white heath aster,Symphyotrichum,ericoides,(L.)Nesomvar.ericoides,,,
sessileleaf bellwort,Uvularia,sessilifolia,L.,,,
sixweeks fescue,Vulpia,octoflora,(Walt.)Rydb.,,,
tall hairy agrimony,Agrimonia,gryposepala,Wallr.,,,
great ragweed,Ambrosia,trifida,L.,,,
walking fern,Asplenium,rhizophyllum,L.,,,
sweet birch,Bartonia,virginica,(L.)B.S.P.,,,
red hickory,Carya,ovalis,(Wangenh.)Sarg.,,,
summer coralroot,Corallorrhiza,maculata,(Raf.)Raf.,,,
autumn coralroot,Corallorrhiza,odontorhiza,(Willd.)Poir.,,,
rock harlequin,Corydalis,sempervirens,(L.)Pers.,,,
stiff ticktrefoil,Desmodium,obtusum,(Muhl.exWilld.)DC.,,,
lace grass,Eragrostis,capillaris,(L.)Nees,,,
sensitive fern,Onoclea,sensibilis,L.,,,
interrupted fern,Osmunda,claytoniana,L.,,,
common hoptree,Ptelea,trifoliata,L.,,,
purpleflowering raspberry,Rubus,odoratus,L.,,,
silky willow,Salix,sericea,Marsh.,,,
lanceleaf figwort,Scrophularia,lanceolata,Pursh,,,
carpenter's square,Scrophularia,marilandica,L.,,,
purple meadowparsnip,Thaspium,trifoliatum,(L.)Grayvar.aureumBritt.,,,
bluntlobe cliff fern,Woodsia,obtusa,(Spreng.)Torr.,,,
yellow giant hyssop,Agastache,nepetoides,(L.)Kuntze,,,
whorled milkweed,Asclepias,verticillata,L.,,,
fringed brome,Bromus,ciliatus,L.,,,
crinkleroot,Cardamine,diphylla,(Michx.)Wood,,,
scarlet hawthorn,Crataegus,pedicellata,Sarg.,,,
Canada wildrye,Elymus,canadensis,L.,,,
showy orchid,Galearis,spectabilis,(L.)Raf.,,,
purple cliffbrake,Pellaea,atropurpurea,(L.)Link,,,
pin cherry,Prunus,pensylvanica,L.f.,,,
eastern hemlock,Tsuga,canadensis,(L.)Carr.,,,
slippery elm,Ulmus,rubra,Muhl.,,,
silver maple,Acer,saccharinum,L.,,,
sugar maple,Acer,saccharum,Marsh.,,,
bushy bluestem,Andropogon,glomeratus,(Walt.)B.S.P.,,,
broomsedge bluestem,Andropogon,virginicus,L.,,,
shagbark hickory,Carya,ovata,(P.Mill.)K.Koch,,,
mapleleaf goosefoot,Chenopodium,simplex,(Torr.)Raf.,,,
richweed,Collinsonia,canadensis,L.,,,
cockspur hawthorn,Crataegus,crus-galli,L.,,,
brittle bladderfern,Cystopteris,fragilis,(L.)Bernh.,,,
velvet panicum,Dichanthelium,scoparium,(Lam.)Gould,,,
wild yam,Dioscorea,villosa,L.,,,
Virginia wildrye,Elymus,virginicus,L.,,,
blue huckleberry,Gaylussacia,frondosa,(L.)Torr.&GrayexTorr.,,,
thinleaf sunflower,Helianthus,decapetalus,L.,,,
vanilla grass,Hierochloe,odorata,(L.)Beauv.,,,
bluntleaf waterleaf,Hydrophyllum,canadense,L.,,,
marsh pea,Lathyrus,palustris,L.,,,
wood lily,Lilium,philadelphicum,L.,,,
brown widelip orchid,Liparis,liliifolia,(L.)L.C.Rich.exKer-Gawl.,,,
piedmont staggerbush,Lyonia,mariana,(L.)D.Don,,,
tufted loosestrife,Lysimachia,thyrsiflora,L.,,,
Indian cucumber,Medeola,virginiana,L.,,,
hophornbeam,Ostrya,virginiana,(P.Mill.)K.Koch,,,
mountain woodsorrel,Oxalis,montana,Raf.,,,
mayapple,Podophyllum,peltatum,L.,,,
bigtooth aspen,Populus,grandidentata,Michx.,,,
hoary mountainmint,Pycnanthemum,incanum,(L.)Michx.,,,
clustered mountainmint,Pycnanthemum,muticum,(Michx.)Pers.,,,
dwarf chinkapin oak,Quercus,prinoides,Willd.,,,
post oak,Quercus,stellata,Wangenh.,,,
slender rose gentian,Sabatia,campanulata,(L.)Torr.,,,
lyreleaf sage,Salvia,lyrata,L.,,,
bloodroot,Sanguinaria,canadensis,L.,,,
oneseed burr cucumber,Sicyos,angulatus,L.,,,
sleepy silene,Silene,antirrhina,L.,,,
smooth carrionflower,Smilax,herbacea,L.,,,
common blue wood aster,Symphyotrichum,cordifolium,(L.)Nesom,,,
New York aster,Symphyotrichum,novi-belgii,(L.)Nesom,,,
American basswood,Tilia,americana,L.,,,
red trillium,Trillium,erectum,L.,,,
perfoliate bellwort,Uvularia,perfoliata,L.,,,
hobblebush,Viburnum,lantanoides,Michx.,,,
purple false foxglove,Agalinis,purpurea,(L.)Pennell,,,
northern water plantain,Alisma,triviale,Pursh,,,
cutleaf grapefern,Botrychium,dissectum,Spreng.,,,
cutleaf toothwort,Cardamine,concatenata,(Michx.)Sw.,,,
sweet woodreed,Cinna,arundinacea,L.,,,
whitemouth dayflower,Commelina,erecta,L.,,,
arrowhead rattlebox,Crotalaria,sagittalis,L.,,,
wild cucumber,Echinocystis,lobata,(Michx.)Torr.&Gray,,,
beechdrops,Epifagus,virginiana,(L.)W.Bart.,,,
slender goldentop,Euthamia,tenuifolia,(Pursh)Nutt.,,,
green ash,Fraxinus,pennsylvanica,Marsh.,,,
eastern teaberry,Gaultheria,procumbens,L.,,,
closed bottle gentian,Gentiana,andrewsii,Griseb.,,,
limber honeysuckle,Lonicera,dioica,L.,,,
ostrich fern,Matteuccia,struthiopteris,(L.)Todaro,,,
Indianpipe,Monotropa,uniflora,L.,,,
whorled wood aster,Oclemena,acuminata,(Michx.)Greene,,,
wild Job's tears,Onosmodium,virginianum,(L.)A.DC.,,,
long beechfern,Phegopteris,connectilis,(Michx.)Watt,,,
hairy Solomon's seal,Polygonatum,pubescens,(Willd.)Pursh,,,
pleatleaf knotweed,Polygonum,tenue,Michx.,,,
sand blackberry,Rubus,cuneifolius,Pursh,,,
cat greenbrier,Smilax,glauca,Walt.,,,
American bladdernut,Staphylea,trifolia,L.,,,
Virginia chainfern,Woodwardia,virginica,(L.)Sm.,,,
blue cohosh,Caulophyllum,thalictroides,(L.)Michx.,,,
fairywand,Chamaelirium,luteum,(L.)Gray,,,
waxyfruit hawthorn,Crataegus,pruinosa,(Wendl.f.)K.Koch,,,
bearded flatsedge,Cyperus,squarrosus,L.,,,
spinulose woodfern,Dryopteris,carthusiana,(Vill.)H.P.Fuchs,,,
strawberry bush,Euonymus,americana,L.,,,
downy milkpea,Galactia,volubilis,(L.)Britt.,,,
yellow widelip orchid,Liparis,loeselii,(L.)L.C.Rich.,,,
common moonseed,Menispermum,canadense,L.,,,
rock polypody,Polypodium,virginianum,L.,,,
whip nutrush,Scleria,triglomerata,Michx.,,,
hairy skullcap,Scutellaria,elliptica,Muhl.exSpreng.,,,
smooth hedgenettle,Stachys,tenuifolia,Willd.,,,
rusty woodsia,Woodsia,ilvensis,(L.)R.Br.,,,
